[odo1] [odo2] [x] [y] 
-4.448545 -4.256797 -0.584748 0.261327
-4.525243 -4.410195 -0.587029 0.261117
-4.525243 -4.563593 -0.589353 0.260901
-4.295146 -4.486894 -0.591691 0.260685
-4.141748 -4.065049 -0.594036 0.260468
-4.256797 -4.065049 -0.596435 0.260246
-4.256797 -4.218447 -0.599557 0.259957
-4.640292 -4.755341 -0.602207 0.259709
-4.678641 -4.640292 -0.605277 0.259424
-4.256797 -4.180098 -0.608362 0.259137
-4.026700 -4.256797 -0.610866 0.258903
-4.180098 -4.716991 -0.613021 0.258703
-4.601943 -4.333496 -0.615367 0.258487
-4.448545 -4.103399 -0.617683 0.258275
-4.371845 -3.758253 -0.619955 0.258066
-4.640292 -4.065049 -0.622110 0.257864
-4.563593 -4.410195 -0.625665 0.257523
-4.256797 -4.295146 -0.630065 0.257093
-3.950001 -3.873302 -0.632969 0.256809
-4.295146 -4.218447 0.145000 0.256560
-3.374758 -3.873302 0.142649 0.256560
-1.725728 -1.035437 0.140510 0.256561
-0.843689 0.000000 0.139654 0.256561
0.613592 0.651942 0.139406 0.256561
1.533981 1.265534 0.139779 0.256562
2.032525 2.109224 0.140621 0.256565
2.300971 2.109224 0.141821 0.256568
2.454369 1.955825 0.142962 0.256572
2.377670 1.764078 0.144100 0.256574
2.454369 1.649029 0.145152 0.256574
2.492719 1.649029 0.146212 0.256572
2.147573 1.764078 0.147280 0.256568
2.416020 1.994175 0.148269 0.256563
2.991262 2.185923 0.149506 0.256555
3.681554 2.262622 0.151071 0.256541
3.489806 2.761165 0.152827 0.256520
3.681554 3.106311 0.154717 0.256491
3.298059 2.876214 0.156844 0.256453
2.952913 2.492719 0.158688 0.256417
3.489806 3.221360 0.160177 0.256387
3.719903 2.914563 0.161978 0.256348
3.528156 2.837864 0.163733 0.256307
3.681554 2.492719 0.165362 0.256266
4.448545 2.569418 0.166967 0.256221
4.563593 2.876214 0.169012 0.256155
4.295146 3.566505 0.171226 0.256071
3.796602 3.796602 0.173607 0.255971
4.065049 3.528156 0.176358 0.255852
3.374758 3.374758 0.178577 0.255755
3.758253 4.141748 0.180428 0.255672
3.911651 4.448545 0.182442 0.255583
